timesteps,reward_mean
8179,62.25
16198,66.75
24217,66.75
32236,66.75
49574,91.29166666666667
55058,86.0
63077,66.75
79435,65.75
87454,66.75
99044,120.73529411764706
109571,69.72058823529412
119160,174.97368421052633
128398,241.47058823529412
135696,141.66666666666666
146966,154.81944444444446
158554,163.80921052631578
169228,68.40277777777777
179723,129.0653409090909
189269,225.72297297297297
199903,169.7289719626168
209557,135.47916666666666
219331,206.79605263157896
229296,205.875
239535,237.60897435897436
249884,194.55113636363637
258724,164.7171052631579
266678,158.56132075471697
279280,79.47569444444444
287619,58.279411764705884
299186,60.20723684210526
309875,141.6184210526316
318602,125.7
328321,159.56944444444446
339864,91.88013698630137
349828,227.31521739130434
359747,198.55263157894737
369850,145.7596153846154
379902,164.9909090909091
388712,131.81690140845072
399942,148.4486301369863
409768,167.27830188679246
418817,202.3310810810811
428244,156.8846153846154
439643,170.0
445648,189.41666666666666
458864,167.57236842105263
468833,126.68055555555556
475560,153.02403846153845
488735,172.41666666666666
499857,121.61764705882354
507432,113.77197802197803
518527,158.01315789473685
527697,63.55882352941177
534701,80.54166666666667
544770,149.09027777777777
556479,83.32142857142857
566503,98.10096153846153
579184,137.32894736842104
587957,154.57638888888889
599901,147.64473684210526
603317,169.5681818181818
619027,171.17361111111111
629251,162.625
639982,294.47222222222223
648764,143.86805555555554
659450,151.63888888888889
669452,139.13888888888889
679648,150.0721153846154
688618,114.71710526315789
694705,165.734375
706541,80.6
717808,78.57352941176471
729794,162.3625
739805,236.5514705882353
744033,172.26388888888889
753190,152.7941176470588
769798,141.00454545454545
774678,153.625
786122,169.25
794024,152.31944444444446
809841,80.29166666666667
819424,244.15277777777777
828975,229.59848484848484
839086,91.69666666666667
849985,160.85714285714286
859941,133.14622641509433
867690,171.07894736842104
879114,135.4746376811594
889745,76.0
899419,74.27702702702703
909250,113.13392857142857
919758,114.86363636363636
929784,176.4438202247191
939579,115.36842105263158
948149,99.45454545454545
957961,75.44117647058823
962249,311.77941176470586
979803,136.8095238095238
988134,123.375
997715,62.0
1003547,174.5
1012339,180.4375
1026689,79.51190476190476
1033884,138.69444444444446
1049922,108.0
1055708,187.7875
1069092,122.38888888888889
1078470,188.0808823529412
1087288,213.875
1097291,222.0
1109216,118.32142857142857
1119313,78.82352941176471
1129509,154.2565789473684
1137424,200.80714285714285
1143921,257.25
1153204,141.51388888888889
1164711,66.92142857142858
1179579,185.56756756756758
1189818,285.0
1196253,233.02777777777777
1209681,85.525
1219465,156.72727272727272
1228826,201.29545454545453
1237409,303.18939393939394
1249777,128.69285714285715
1259745,99.56944444444444
1263472,155.86764705882354
1276575,179.86111111111111
1289620,227.79861111111111
1298646,196.4934210526316
1309465,140.56428571428572
1318824,125.75
1329854,120.37837837837837
1339729,165.34848484848484
1349100,157.52631578947367
1359500,168.26315789473685
1367008,281.15625
1379389,206.49537037037038
1388685,183.05921052631578
1399716,173.6340579710145
1409079,231.27702702702703
1419721,208.27830188679246
1429567,236.62179487179486
1438603,193.36274509803923
1448252,195.83333333333334
1456008,111.92763157894737
1464027,110.75
1479863,111.86764705882354
1489781,227.96052631578948
1498460,172.27631578947367
1509293,170.48529411764707
1515998,219.95
1529044,122.08333333333333
1537407,194.20714285714286
1549401,246.78947368421052
1557069,192.84722222222223
1569524,219.12019230769232
1579569,140.44594594594594
1589942,174.6851851851852
1598769,160.23557692307693
1609783,179.1602564102564
1615637,120.52083333333333
1629676,76.24285714285715
1639781,75.6625
1649588,246.2549019607843
1659410,164.84459459459458
1669574,151.46052631578948
1678517,167.25694444444446
1689993,181.14423076923077
1699893,145.89084507042253
1709921,225.86111111111111
1712968,276.0375
1729423,133.64622641509433
1739719,111.98636363636363
1749547,237.71527777777777
1758451,182.46634615384616
1769331,229.19594594594594
1779998,273.95
1788026,122.47916666666667
1798315,198.3684210526316
1808602,175.55092592592592
1817289,227.01415094339623
1829735,79.09210526315789
1839448,262.5576923076923
1849489,165.55405405405406
1859868,183.2027027027027
1869999,225.72169811320754
1879064,130.4351851851852
1889656,211.7938596491228
1899334,178.42857142857142
1908589,182.73611111111111
1919808,159.28947368421052
1929866,124.41666666666667
1938190,113.91216216216216
1945270,184.92307692307693
1959671,188.67948717948718
1968769,168.32638888888889
1979310,195.768115942029
1989999,139.3815789473684
1995943,156.42361111111111
